,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55
27,27,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853121310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
28,28,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237563101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
29,29,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512898012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
30,30,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957593034653856,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
31,31,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484400107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
32,32,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783559000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
33,33,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254294766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
34,34,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359422335037613,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
35,35,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794228930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
36,36,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236748377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
37,37,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611712363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
38,38,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938592209125,6.000198824697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
39,39,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198834697288,3.270713618282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
40,40,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713628282333,0.08956477260548182,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
41,41,0.2828177787796637,0.038467884164415836,3.057440841992751,0.6228598874559808,4.712375987979864,3.5737050195029,0.9123672780446865,5.497446799871162,6.024739274351022,2.8476043321131836,3.9215475615487443,1.7090220011061428,1.7641055799698666,2.0452265667731693,5.996770424528363,6.152102738243622,0.8254823860607401,0.2380356784434668,6.161059381787133,4.742204544523528,5.785674613136894,2.1654366059663093,5.916656414139053,3.4200216266136976,3.526279366087061,3.4001707369035494,4.3468207598087725,5.041853111310106,2.6134237463101186,5.533512888012389,1.0957592934653857,6.119484390107053,2.0158783459000604,5.244254284766065,0.10359421335037614,6.020794218930598,5.834236738377035,2.031611702363565,1.2197938492209126,6.000198824697288,3.270713618282333,0.08956478260548181,5.708010738686289,1.1957133908111577,2.5685867692616924,5.443919308955622,1.6978334332171794,3.2840370265213137,4.060232076580454,0.13048149992396912,4.857599035815093,0.49166539344231885,2.850549611693385,2.888463187577171,4.526611199758819,4.013623348034407,4.967300784210822
