,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63
23,23,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747488501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
24,24,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908905949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
25,25,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869503348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
26,26,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762189042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
27,27,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774836014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
28,28,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.3327462018011977,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
29,29,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.6696096606716329,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
30,30,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932184336106,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
31,31,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077446742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
32,32,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317594814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
33,33,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435415219696,1.4629100699642823,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
34,34,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100799642822,5.211593937164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
35,35,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593947164271,0.5837114520094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
36,36,0.18087147905650036,3.3392805180367855,1.6049529877244468,1.076602096632313,5.0352193637963,3.7749652350440916,0.8405312578799388,3.864173203015501,4.991479116282411,0.3076125805346077,0.29230634776500436,2.5780414361695216,3.4671941195962526,2.5501945122329004,3.6051457630410706,0.8186729591105674,3.6203844760212376,4.079776139408791,4.764036026557382,2.601594394086498,5.158087585546746,0.2135587438247869,4.27027847482272,5.727747478501376,4.7585908805949195,0.2446869403348196,6.170762179042769,0.8624774736014055,2.332746191801198,1.669609650671633,2.0207932084336107,3.385077436742541,4.384317584814762,4.858435405219696,1.4629100699642823,5.211593937164271,0.5837114620094542,2.0761009777263046,2.087544183569143,3.922496720082864,0.8359733074175576,3.564922143914359,0.9155401724072301,0.15090571173323344,1.6787092469298472,2.7138752476097845,0.042687099284281785,6.177406624688382,5.666983640635447,2.5525042435061347,3.873933535088845,0.34043073293281023,4.461000791629831,3.34124347007273,3.628420433258289,1.040778549569047,1.8798311302933168,1.9225455953179114,0.5433388183371909,1.4709806926215843,5.175893277808664,3.988707000210993,0.24696117337355347,2.046570808361647,4.426230315050103
