,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71,theta_72,theta_73,theta_74,theta_75,theta_76,theta_77,theta_78,theta_79,theta_80,theta_81,theta_82,theta_83,theta_84,theta_85,theta_86,theta_87
10,10,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508146902956,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
11,11,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738711582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
12,12,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931522504982,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
13,13,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508097613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
14,14,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630136906674,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
15,15,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697287476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
16,16,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273291529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
17,17,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079901730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
18,18,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121967641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
19,19,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651255330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
20,20,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222185475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
21,21,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165095600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
22,22,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588630566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
23,23,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.119938250816287,2.0321512192960105,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
24,24,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512292960104,3.4295208211104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
25,25,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208311104664,1.3094557956444004,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
26,26,0.18206006023835283,3.559204072241843,0.4645610859655769,6.001836949997602,5.9558551500888885,0.06086537370238137,5.260759860089141,5.299820178061049,0.11888049294232542,1.8284899337787086,3.0213508046902957,3.963738701582496,1.3376931422504983,4.082508087613738,2.9332630036906675,5.815697277476143,2.730273281529547,4.856079891730643,5.802121957641421,5.856651245330316,4.489222175475935,5.067165085600997,1.492588620566648,3.1199382408162872,2.0321512192960105,3.4295208211104664,1.3094558056444003,3.3391515371419067,3.080835042297093,2.4013332832736634,3.429968528237693,1.3419136933572329,3.192269013821314,4.746697741506357,3.4756367463384428,0.4216100423242258,4.74373918256699,4.580390285782809,2.108205636431714,5.47465815086792,5.025866373670586,2.480755585411769,3.083880278513245,6.085528496662276,5.6217845114278,1.5359794546632815,1.545890342230799,0.027919478414994623,1.319773706379871,5.459078884035273,1.3624001759823006,5.62750928832761,6.252292855598293,4.3228954556322465,5.35247209941743,2.8441649764071464,4.479241954192171,6.035765078109275,6.161043293769113,4.221019116643785,1.0638599099156956,6.159368211544103,0.9497544320790391,1.6481771037762054,0.3679493824456119,6.211319788253684,1.6618162261783584,2.044138228036455,3.770676180809817,1.014475956266065,0.07928013924395919,5.518555723350357,4.58987869264128,3.5267205361594383,0.39999079368241636,3.0805861787961994,5.4067071355360925,5.1764999377651115,0.2846518414942241,1.530070418269478,2.903122738558951,5.737496962621462,5.813925312989652,1.8009569576028897,6.044903456947995,5.970733897170933,0.7524286392190844,5.31018923653591,6.232205300746689
