,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55
700,700,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564900905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
701,701,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905050253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
702,702,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376661419705,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
703,703,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405423769187,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
704,704,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948550458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
705,705,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075117896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
706,706,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757779799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
707,707,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476980476905,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
708,708,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599688929348,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
709,709,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926740579416,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
710,710,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203405285387,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
711,711,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930412894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
712,712,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516859657483,4.593242103035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
713,713,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242113035671,1.8474783263169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
714,714,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783363169727,3.7690859048536947,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
715,715,0.056130163086247145,5.962112626713118,5.812470276511595,6.161930616707256,5.422360638595747,6.103174914156531,0.0,3.8377882769439937,0.18162051434896867,3.071157189106088,0.8625310365132802,2.1485588996080964,4.375841932270865,4.260660081317091,4.31616041067586,4.987684933066769,5.8240564800905,4.070905040253607,1.9720376561419706,1.0668405323769188,6.032948540458163,5.082075107896858,4.82757778799873,0.9734476880476904,0.5931599588929347,3.7785926640579417,1.5657203305285388,5.428930402894915,4.152516849657483,4.593242103035671,1.8474783263169727,3.7690859148536946,4.439536329588256,2.670006408265041,1.1846439705972107,5.860840504063761,2.568333020288626,5.221590606907907,0.04955949204048295,2.60283663041106,5.04424216536734,1.2995123582657018,5.640400923200729,4.941479775259254,0.8474102430103055,0.7077504392932542,5.660692886311898,1.9516361185050624,5.01530621420087,1.336203283786863,5.907951437022607,2.384273573254938,0.6767318564041037,5.253132504200078,4.0352945968447544,2.031008034086423,2.8663727271388773
